timestamp,process_id,worker_id,label,release,batch,metric,value
2025-09-18T16:48:36.586000,62820,2,worker-2,2023-10-22,4,latency,8.941
2025-09-18T16:48:38.553000,62819,1,worker-1,2023-10-23,3,latency,8.294
2025-09-18T16:48:44.753000,62820,2,worker-2,2023-10-22,5,latency,8.166
2025-09-18T16:48:47.156000,62819,1,worker-1,2023-10-23,4,latency,8.602
2025-09-18T16:48:51.153000,62820,2,worker-2,2023-10-22,6,latency,6.400
2025-09-18T16:48:51.154000,62820,2,worker-2,2023-10-22,7,batches,7.000
2025-09-18T16:48:51.743000,62820,2,worker-2,2023-10-22,,max-rss,9.912
2025-09-18T16:48:51.754000,62817,,coordinator,,,max-rss,0.122
2025-09-18T16:48:54.716000,62819,1,worker-1,2023-10-23,5,latency,7.560
2025-09-18T16:49:00.991000,62820,2,worker-2,2023-10-24,0,latency,8.225
2025-09-18T16:49:03.315000,62819,1,worker-1,2023-10-23,6,latency,8.599
2025-09-18T16:49:06.169000,62819,1,worker-1,2023-10-23,7,latency,2.853
2025-09-18T16:49:06.169000,62819,1,worker-1,2023-10-23,8,batches,8.000
2025-09-18T16:49:06.549000,62819,1,worker-1,2023-10-23,,max-rss,9.585
2025-09-18T16:49:06.563000,62817,,coordinator,,,max-rss,0.124
2025-09-18T16:49:08.788000,62820,2,worker-2,2023-10-24,1,latency,7.796
